{'Time': '08Mar2022-11h47m59s', 'Mauro': 1116.0, 'David': 1148.0, 'Martin': 1038.0, 'Thierry': 974.0, 'Mekha': 819.0, 'Romain': 937.0, 'Constant': 1014.0, 'Lucie': 973.0, 'Hugo': 981.0}
{'Time': '08Mar2022-13h40m00s', 'Mauro': 1116.0, 'David': 1148.0, 'Martin': 1038.0, 'Thierry': 974.0, 'Mekha': 796.0, 'Romain': 937.0, 'Constant': 1037.0, 'Lucie': 973.0, 'Hugo': 981.0}
{'Time': '08Mar2022-13h40m15s', 'Mauro': 1116.0, 'David': 1174.0, 'Martin': 1038.0, 'Thierry': 948.0, 'Mekha': 809.0, 'Romain': 937.0, 'Constant': 1024.0, 'Lucie': 973.0, 'Hugo': 981.0}
{'Time': '08Mar2022-13h40m26s', 'Mauro': 1082.0, 'David': 1194.0, 'Martin': 1038.0, 'Thierry': 962.0, 'Mekha': 809.0, 'Romain': 937.0, 'Constant': 1024.0, 'Lucie': 973.0, 'Hugo': 981.0}
{'Time': '08Mar2022-13h40m34s', 'Mauro': 1104.0, 'David': 1180.0, 'Martin': 1038.0, 'Thierry': 962.0, 'Mekha': 801.0, 'Romain': 937.0, 'Constant': 1024.0, 'Lucie': 973.0, 'Hugo': 981.0}
{'Time': '08Mar2022-13h40m52s', 'Mauro': 1104.0, 'David': 1176.0, 'Martin': 1038.0, 'Thierry': 962.0, 'Mekha': 805.0, 'Romain': 937.0, 'Constant': 1057.0, 'Lucie': 940.0, 'Hugo': 981.0}
{'Time': '08Mar2022-13h41m06s', 'Mauro': 1104.0, 'David': 1176.0, 'Martin': 1038.0, 'Thierry': 962.0, 'Mekha': 781.0, 'Romain': 961.0, 'Constant': 1036.0, 'Lucie': 961.0, 'Hugo': 981.0}
{'Time': '08Mar2022-13h41m16s', 'Mauro': 1073.0, 'David': 1207.0, 'Martin': 1038.0, 'Thierry': 962.0, 'Mekha': 796.0, 'Romain': 946.0, 'Constant': 1036.0, 'Lucie': 961.0, 'Hugo': 981.0}
{'Time': '08Mar2022-13h41m22s', 'Mauro': 1057.0, 'David': 1223.0, 'Martin': 1038.0, 'Thierry': 962.0, 'Mekha': 796.0, 'Romain': 946.0, 'Constant': 1036.0, 'Lucie': 961.0, 'Hugo': 981.0}
{'Time': '08Mar2022-13h41m28s', 'Mauro': 1043.0, 'David': 1237.0, 'Martin': 1038.0, 'Thierry': 962.0, 'Mekha': 796.0, 'Romain': 946.0, 'Constant': 1036.0, 'Lucie': 961.0, 'Hugo': 981.0}
{'Time': '08Mar2022-13h41m40s', 'Mauro': 1062.0, 'David': 1218.0, 'Martin': 1038.0, 'Thierry': 962.0, 'Mekha': 780.0, 'Romain': 946.0, 'Constant': 1052.0, 'Lucie': 961.0, 'Hugo': 981.0}
{'Time': '08Mar2022-13h41m56s', 'Mauro': 1062.0, 'David': 1240.0, 'Martin': 1038.0, 'Thierry': 962.0, 'Mekha': 790.0, 'Romain': 946.0, 'Constant': 1042.0, 'Lucie': 961.0, 'Hugo': 959.0}
{'Time': '08Mar2022-13h42m13s', 'Mauro': 1062.0, 'David': 1230.0, 'Martin': 1038.0, 'Thierry': 990.0, 'Mekha': 790.0, 'Romain': 946.0, 'Constant': 1042.0, 'Lucie': 961.0, 'Hugo': 941.0}
{'Time': '08Mar2022-13h42m28s', 'Mauro': 1062.0, 'David': 1237.0, 'Martin': 1038.0, 'Thierry': 972.0, 'Mekha': 783.0, 'Romain': 946.0, 'Constant': 1042.0, 'Lucie': 961.0, 'Hugo': 959.0}
{'Time': '08Mar2022-13h42m41s', 'Mauro': 1062.0, 'David': 1234.0, 'Martin': 1047.0, 'Thierry': 972.0, 'Mekha': 777.0, 'Romain': 946.0, 'Constant': 1042.0, 'Lucie': 961.0, 'Hugo': 959.0}
{'Time': '08Mar2022-13h42m55s', 'Mauro': 1062.0, 'David': 1187.0, 'Martin': 1042.0, 'Thierry': 972.0, 'Mekha': 782.0, 'Romain': 946.0, 'Constant': 1089.0, 'Lucie': 961.0, 'Hugo': 959.0}
{'Time': '08Mar2022-13h43m12s', 'Mauro': 1062.0, 'David': 1248.0, 'Martin': 1042.0, 'Thierry': 972.0, 'Mekha': 782.0, 'Romain': 946.0, 'Constant': 1028.0, 'Lucie': 961.0, 'Hugo': 959.0}
{'Time': '08Mar2022-13h43m29s', 'Mauro': 1062.0, 'David': 1251.0, 'Martin': 1042.0, 'Thierry': 972.0, 'Mekha': 782.0, 'Romain': 946.0, 'Constant': 1043.0, 'Lucie': 943.0, 'Hugo': 959.0}
{'Time': '08Mar2022-13h43m46s', 'Mauro': 1062.0, 'David': 1243.0, 'Martin': 1005.0, 'Thierry': 972.0, 'Mekha': 782.0, 'Romain': 983.0, 'Constant': 1043.0, 'Lucie': 951.0, 'Hugo': 959.0}
{'Time': '08Mar2022-13h44m00s', 'Mauro': 1062.0, 'David': 1259.0, 'Martin': 1030.0, 'Thierry': 972.0, 'Mekha': 782.0, 'Romain': 958.0, 'Constant': 1043.0, 'Lucie': 951.0, 'Hugo': 943.0}
